Trial 0: Params - {'loss': 'absolute_error', 'n_estimators': 800, 'learning_rate': 0.010771504060381519, 'max_depth': 4, 'min_samples_split': 15, 'min_samples_leaf': 19, 'subsample': 0.5541754785785125}, Value - 1.358
Trial 52: Params - {'loss': 'squared_error', 'n_estimators': 500, 'learning_rate': 0.012783822986681084, 'max_depth': 3, 'min_samples_split': 11, 'min_samples_leaf': 3, 'subsample': 0.3566101268386812}, Value - 1.334
Trial 53: Params - {'loss': 'squared_error', 'n_estimators': 400, 'learning_rate': 0.015262768650155547, 'max_depth': 3, 'min_samples_split': 10, 'min_samples_leaf': 4, 'subsample': 0.25383474441677784}, Value - 1.332
Trial 54: Params - {'loss': 'squared_error', 'n_estimators': 400, 'learning_rate': 0.011395644787671699, 'max_depth': 3, 'min_samples_split': 14, 'min_samples_leaf': 5, 'subsample': 0.25138171438661217}, Value - 1.332
Trial 55: Params - {'loss': 'squared_error', 'n_estimators': 350, 'learning_rate': 0.013646822918177953, 'max_depth': 3, 'min_samples_split': 17, 'min_samples_leaf': 4, 'subsample': 0.8604501300028145}, Value - 1.32
Trial 56: Params - {'loss': 'squared_error', 'n_estimators': 350, 'learning_rate': 0.011218060129130758, 'max_depth': 3, 'min_samples_split': 18, 'min_samples_leaf': 4, 'subsample': 0.8965643582747547}, Value - 1.315
Trial 57: Params - {'loss': 'quantile', 'n_estimators': 100, 'learning_rate': 0.013772507683723779, 'max_depth': 7, 'min_samples_split': 18, 'min_samples_leaf': 4, 'subsample': 0.8432581850660998}, Value - 1.996
Trial 58: Params - {'loss': 'squared_error', 'n_estimators': 350, 'learning_rate': 0.017578853705427368, 'max_depth': 3, 'min_samples_split': 17, 'min_samples_leaf': 4, 'subsample': 0.9950013710012255}, Value - 1.313
Trial 59: Params - {'loss': 'squared_error', 'n_estimators': 300, 'learning_rate': 0.01707916827984196, 'max_depth': 4, 'min_samples_split': 17, 'min_samples_leaf': 2, 'subsample': 0.9755591665354316}, Value - 1.309
Trial 60: Params - {'loss': 'huber', 'n_estimators': 200, 'learning_rate': 0.01063910367673623, 'max_depth': 4, 'min_samples_split': 17, 'min_samples_leaf': 2, 'subsample': 0.9898369591932957}, Value - 1.335
Trial 61: Params - {'loss': 'squared_error', 'n_estimators': 300, 'learning_rate': 0.01746524544302645, 'max_depth': 3, 'min_samples_split': 19, 'min_samples_leaf': 2, 'subsample': 0.9192248748143143}, Value - 1.313
Trial 62: Params - {'loss': 'squared_error', 'n_estimators': 300, 'learning_rate': 0.017090715631862374, 'max_depth': 3, 'min_samples_split': 19, 'min_samples_leaf': 2, 'subsample': 0.9092764080729729}, Value - 1.314
Trial 63: Params - {'loss': 'squared_error', 'n_estimators': 300, 'learning_rate': 0.021568954235672178, 'max_depth': 3, 'min_samples_split': 19, 'min_samples_leaf': 2, 'subsample': 0.9071609641447823}, Value - 1.31
Trial 64: Params - {'loss': 'squared_error', 'n_estimators': 300, 'learning_rate': 0.02154455928927897, 'max_depth': 4, 'min_samples_split': 19, 'min_samples_leaf': 2, 'subsample': 0.9136641618812418}, Value - 1.316
Trial 65: Params - {'loss': 'squared_error', 'n_estimators': 300, 'learning_rate': 0.020944929148547314, 'max_depth': 8, 'min_samples_split': 19, 'min_samples_leaf': 2, 'subsample': 0.9519932851634574}, Value - 1.342
Trial 66: Params - {'loss': 'squared_error', 'n_estimators': 250, 'learning_rate': 0.017293758472715234, 'max_depth': 4, 'min_samples_split': 19, 'min_samples_leaf': 2, 'subsample': 0.8936934259834675}, Value - 1.306
Trial 67: Params - {'loss': 'squared_error', 'n_estimators': 250, 'learning_rate': 0.01728260360356932, 'max_depth': 5, 'min_samples_split': 18, 'min_samples_leaf': 2, 'subsample': 0.8668204830135009}, Value - 1.312
Trial 68: Params - {'loss': 'squared_error', 'n_estimators': 150, 'learning_rate': 0.017065506871257727, 'max_depth': 5, 'min_samples_split': 19, 'min_samples_leaf': 2, 'subsample': 0.7970657331471203}, Value - 1.328
Trial 69: Params - {'loss': 'squared_error', 'n_estimators': 250, 'learning_rate': 0.019382876178368296, 'max_depth': 5, 'min_samples_split': 16, 'min_samples_leaf': 2, 'subsample': 0.9551054193831916}, Value - 1.314
Trial 70: Params - {'loss': 'huber', 'n_estimators': 250, 'learning_rate': 0.01760706649469874, 'max_depth': 4, 'min_samples_split': 20, 'min_samples_leaf': 3, 'subsample': 0.8770973774586597}, Value - 1.323
Trial 71: Params - {'loss': 'squared_error', 'n_estimators': 250, 'learning_rate': 0.019115430739434995, 'max_depth': 5, 'min_samples_split': 16, 'min_samples_leaf': 2, 'subsample': 0.9535897418437842}, Value - 1.316
Trial 72: Params - {'loss': 'squared_error', 'n_estimators': 200, 'learning_rate': 0.019518132124562673, 'max_depth': 6, 'min_samples_split': 16, 'min_samples_leaf': 2, 'subsample': 0.9971525615815435}, Value - 1.318
Trial 73: Params - {'loss': 'squared_error', 'n_estimators': 150, 'learning_rate': 0.022979624557900327, 'max_depth': 5, 'min_samples_split': 18, 'min_samples_leaf': 3, 'subsample': 0.8166881295665283}, Value - 1.321
Trial 74: Params - {'loss': 'squared_error', 'n_estimators': 350, 'learning_rate': 0.01630560116684174, 'max_depth': 6, 'min_samples_split': 19, 'min_samples_leaf': 2, 'subsample': 0.9492983873241072}, Value - 1.322
Trial 75: Params - {'loss': 'squared_error', 'n_estimators': 300, 'learning_rate': 0.01867918301021631, 'max_depth': 4, 'min_samples_split': 18, 'min_samples_leaf': 3, 'subsample': 0.9280925407565818}, Value - 1.308
Trial 76: Params - {'loss': 'absolute_error', 'n_estimators': 300, 'learning_rate': 0.017640281246453896, 'max_depth': 4, 'min_samples_split': 18, 'min_samples_leaf': 3, 'subsample': 0.751287996340679}, Value - 1.358
Trial 77: Params - {'loss': 'squared_error', 'n_estimators': 200, 'learning_rate': 0.024994796365951578, 'max_depth': 4, 'min_samples_split': 17, 'min_samples_leaf': 3, 'subsample': 0.918919316271577}, Value - 1.32
Trial 78: Params - {'loss': 'quantile', 'n_estimators': 300, 'learning_rate': 0.020537386749969494, 'max_depth': 10, 'min_samples_split': 20, 'min_samples_leaf': 3, 'subsample': 0.8860357858730927}, Value - 2.176
Trial 79: Params - {'loss': 'squared_error', 'n_estimators': 150, 'learning_rate': 0.022125188982201113, 'max_depth': 4, 'min_samples_split': 19, 'min_samples_leaf': 2, 'subsample': 0.8412646741234798}, Value - 1.314
Trial 80: Params - {'loss': 'squared_error', 'n_estimators': 250, 'learning_rate': 0.014787542435048694, 'max_depth': 4, 'min_samples_split': 15, 'min_samples_leaf': 14, 'subsample': 0.9828509904678612}, Value - 1.349
Trial 81: Params - {'loss': 'squared_error', 'n_estimators': 250, 'learning_rate': 0.018375798964867157, 'max_depth': 5, 'min_samples_split': 17, 'min_samples_leaf': 2, 'subsample': 0.9358665109694418}, Value - 1.314
Trial 82: Params - {'loss': 'squared_error', 'n_estimators': 300, 'learning_rate': 0.015794871369717123, 'max_depth': 5, 'min_samples_split': 17, 'min_samples_leaf': 2, 'subsample': 0.9712743394851285}, Value - 1.317
Trial 83: Params - {'loss': 'squared_error', 'n_estimators': 350, 'learning_rate': 0.02015335897917587, 'max_depth': 4, 'min_samples_split': 16, 'min_samples_leaf': 3, 'subsample': 0.9107371427191414}, Value - 1.316
Trial 84: Params - {'loss': 'squared_error', 'n_estimators': 200, 'learning_rate': 0.016441380242784076, 'max_depth': 5, 'min_samples_split': 18, 'min_samples_leaf': 2, 'subsample': 0.9660929504177607}, Value - 1.316
Trial 85: Params - {'loss': 'squared_error', 'n_estimators': 250, 'learning_rate': 0.017178322418092223, 'max_depth': 3, 'min_samples_split': 20, 'min_samples_leaf': 4, 'subsample': 0.9305160272698426}, Value - 1.312
Trial 86: Params - {'loss': 'squared_error', 'n_estimators': 350, 'learning_rate': 0.017038976304961883, 'max_depth': 3, 'min_samples_split': 20, 'min_samples_leaf': 3, 'subsample': 0.8685964077350209}, Value - 1.309
Trial 87: Params - {'loss': 'squared_error', 'n_estimators': 400, 'learning_rate': 0.01433177034509594, 'max_depth': 3, 'min_samples_split': 20, 'min_samples_leaf': 4, 'subsample': 0.8677304003682089}, Value - 1.316
Trial 88: Params - {'loss': 'squared_error', 'n_estimators': 350, 'learning_rate': 0.018393405204514632, 'max_depth': 3, 'min_samples_split': 20, 'min_samples_leaf': 5, 'subsample': 0.9279606777844214}, Value - 1.316
Trial 89: Params - {'loss': 'huber', 'n_estimators': 250, 'learning_rate': 0.01499063518167605, 'max_depth': 3, 'min_samples_split': 18, 'min_samples_leaf': 3, 'subsample': 0.8252796864222584}, Value - 1.325
Trial 90: Params - {'loss': 'absolute_error', 'n_estimators': 350, 'learning_rate': 0.016047976185409162, 'max_depth': 4, 'min_samples_split': 20, 'min_samples_leaf': 3, 'subsample': 0.7629985247887701}, Value - 1.355
Trial 91: Params - {'loss': 'squared_error', 'n_estimators': 300, 'learning_rate': 0.017154724619514162, 'max_depth': 3, 'min_samples_split': 19, 'min_samples_leaf': 4, 'subsample': 0.8965326898674834}, Value - 1.316
Trial 92: Params - {'loss': 'squared_error', 'n_estimators': 200, 'learning_rate': 0.016812849239900767, 'max_depth': 3, 'min_samples_split': 19, 'min_samples_leaf': 3, 'subsample': 0.8583458807772153}, Value - 1.321
Trial 93: Params - {'loss': 'squared_error', 'n_estimators': 300, 'learning_rate': 0.01835487004763318, 'max_depth': 3, 'min_samples_split': 19, 'min_samples_leaf': 2, 'subsample': 0.9356480906163933}, Value - 1.309
Trial 94: Params - {'loss': 'squared_error', 'n_estimators': 250, 'learning_rate': 0.01835493398199297, 'max_depth': 3, 'min_samples_split': 18, 'min_samples_leaf': 4, 'subsample': 0.9374632329108984}, Value - 1.313
Trial 95: Params - {'loss': 'squared_error', 'n_estimators': 400, 'learning_rate': 0.02130900773830226, 'max_depth': 3, 'min_samples_split': 20, 'min_samples_leaf': 5, 'subsample': 0.9700473847552854}, Value - 1.316
Trial 96: Params - {'loss': 'squared_error', 'n_estimators': 300, 'learning_rate': 0.026027723065525043, 'max_depth': 4, 'min_samples_split': 19, 'min_samples_leaf': 12, 'subsample': 0.6288700404849314}, Value - 1.329
Trial 97: Params - {'loss': 'squared_error', 'n_estimators': 350, 'learning_rate': 0.019930083240432644, 'max_depth': 3, 'min_samples_split': 17, 'min_samples_leaf': 3, 'subsample': 0.9987630107365691}, Value - 1.319
Trial 98: Params - {'loss': 'quantile', 'n_estimators': 450, 'learning_rate': 0.022246688363260596, 'max_depth': 4, 'min_samples_split': 18, 'min_samples_leaf': 2, 'subsample': 0.8959649748506359}, Value - 2.123
Trial 99: Params - {'loss': 'squared_error', 'n_estimators': 250, 'learning_rate': 0.015543284254498952, 'max_depth': 3, 'min_samples_split': 20, 'min_samples_leaf': 4, 'subsample': 0.934872192794286}, Value - 1.315
